mission_time,target_altitude,current_altitude,error,velocity_cmd,proportional,integral,derivative
3.0994415283203125e-06,1.5,0.63,0.87,0.872175,0.87,0.0021750000000000003,0
0.059287071228027344,1.5,0.63,0.87,0.87435,0.87,0.004350000000000001,0.0
0.1075289249420166,1.5,0.63,0.87,0.876525,0.87,0.006525,0.0
0.15703988075256348,1.5,0.63,0.87,0.8787,0.87,0.008700000000000001,0.0
0.20407986640930176,1.5,0.64,0.86,0.6708499999999998,0.86,0.010850000000000002,-0.20000000000000018
0.25356006622314453,1.5,0.64,0.86,0.873,0.86,0.013000000000000001,0.0
0.30842018127441406,1.5,0.66,0.84,0.4550999999999996,0.84,0.0151,-0.40000000000000036
0.35443615913391113,1.5,0.66,0.84,0.8572,0.84,0.0172,0.0
0.40401315689086914,1.5,0.66,0.84,0.8593,0.84,0.019299999999999998,0.0
0.4524092674255371,1.5,0.7,0.8,0.02130000000000154,0.8,0.0213,-0.7999999999999985
0.5000572204589844,1.5,0.75,0.75,-0.22682500000000094,0.75,0.023174999999999998,-1.0000000000000009
0.5612149238586426,1.5,0.75,0.75,0.77505,0.75,0.025049999999999996,0.0
0.6119959354400635,1.5,0.75,0.75,0.776925,0.75,0.026924999999999994,0.0
0.6616950035095215,1.5,0.8,0.7,-0.2713250000000009,0.7,0.028674999999999996,-1.0000000000000009
0.7001850605010986,1.5,0.8,0.7,0.730425,0.7,0.030424999999999997,0.0
0.7601840496063232,1.5,0.85,0.65,-0.3179499999999986,0.65,0.032049999999999995,-0.9999999999999987
0.8087260723114014,1.5,0.9,0.6,-0.36645000000000094,0.6,0.033549999999999996,-1.0000000000000009
0.8591041564941406,1.5,0.9,0.6,0.63505,0.6,0.03505,0.0
0.9078719615936279,1.5,0.9,0.6,0.63655,0.6,0.03655,0.0
0.9577140808105469,1.5,0.94,0.56,-0.2020499999999984,0.56,0.037950000000000005,-0.7999999999999985
1.004228115081787,1.5,0.94,0.56,0.59935,0.56,0.03935,0.0
1.0537071228027344,1.5,0.98,0.52,-0.23935000000000073,0.52,0.040650000000000006,-0.8000000000000007
1.1024210453033447,1.5,0.98,0.52,0.5619500000000001,0.52,0.04195000000000001,0.0
1.1527519226074219,1.5,1.01,0.49,-0.06682500000000058,0.49,0.043175000000000005,-0.6000000000000005
1.2012832164764404,1.5,1.01,0.49,0.5344,0.49,0.0444,0.0
1.2610161304473877,1.5,1.05,0.44999999999999996,-0.3044750000000008,0.44999999999999996,0.045525,-0.8000000000000007
1.3101670742034912,1.5,1.05,0.44999999999999996,0.4966499999999999,0.44999999999999996,0.04665,0.0
1.3575050830841064,1.5,1.08,0.41999999999999993,-0.13230000000000058,0.41999999999999993,0.0477,-0.6000000000000005
1.4075751304626465,1.5,1.08,0.41999999999999993,0.46874999999999994,0.41999999999999993,0.04875,0.0
1.4583041667938232,1.5,1.08,0.41999999999999993,0.46979999999999994,0.41999999999999993,0.049800000000000004,0.0
1.5081360340118408,1.5,1.11,0.3899999999999999,-0.15922500000000062,0.3899999999999999,0.05077500000000001,-0.6000000000000005
1.557497262954712,1.5,1.13,0.3700000000000001,0.021700000000004216,0.3700000000000001,0.0517,-0.3999999999999959
1.6067719459533691,1.5,1.13,0.3700000000000001,0.42262500000000014,0.3700000000000001,0.052625000000000005,0.0
1.6554491519927979,1.5,1.15,0.3500000000000001,0.0034999999999997256,0.3500000000000001,0.053500000000000006,-0.40000000000000036
1.702820062637329,1.5,1.15,0.3500000000000001,0.4043750000000001,0.3500000000000001,0.05437500000000001,0.0
1.753312110900879,1.5,1.17,0.33000000000000007,-0.014800000000000257,0.33000000000000007,0.055200000000000006,-0.40000000000000036
1.8034172058105469,1.5,1.17,0.33000000000000007,0.38602500000000006,0.33000000000000007,0.056025000000000005,0.0
1.8530409336090088,1.5,1.18,0.32000000000000006,0.1768249999999999,0.32000000000000006,0.05682500000000001,-0.20000000000000018
1.9013350009918213,1.5,1.18,0.32000000000000006,0.3776250000000001,0.32000000000000006,0.05762500000000001,0.0
1.952132225036621,1.5,1.19,0.31000000000000005,0.16839999999999988,0.31000000000000005,0.05840000000000001,-0.20000000000000018
2.0007619857788086,1.5,1.19,0.31000000000000005,0.3691750000000001,0.31000000000000005,0.05917500000000001,0.0
2.0502431392669678,1.5,1.2,0.30000000000000004,0.15992499999999987,0.30000000000000004,0.059925000000000006,-0.20000000000000018
2.110481023788452,1.5,1.2,0.30000000000000004,0.3606750000000001,0.30000000000000004,0.06067500000000001,0.0
2.160520076751709,1.5,1.22,0.28,-0.058625000000000316,0.28,0.061375000000000006,-0.40000000000000036
2.2085280418395996,1.5,1.22,0.28,0.342075,0.28,0.062075000000000005,0.0
2.2577061653137207,1.5,1.22,0.28,0.34277500000000005,0.28,0.06277500000000001,0.0
2.307548999786377,1.5,1.22,0.28,0.34347500000000003,0.28,0.063475,0.0
2.3536460399627686,1.5,1.23,0.27,0.13414999999999988,0.27,0.06415000000000001,-0.20000000000000018
2.402306079864502,1.5,1.23,0.27,0.33482500000000004,0.27,0.06482500000000001,0.0
2.4526479244232178,1.5,1.25,0.25,-0.08455000000000035,0.25,0.06545000000000001,-0.40000000000000036
2.503190040588379,1.5,1.25,0.25,0.316075,0.25,0.06607500000000001,0.0
2.5529768466949463,1.5,1.27,0.22999999999999998,-0.10335000000000039,0.22999999999999998,0.06665000000000001,-0.40000000000000036
2.6031241416931152,1.5,1.27,0.22999999999999998,0.297225,0.22999999999999998,0.06722500000000002,0.0
