time,cycle,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
4.0531158447265625e-06,0,0.2999999999997568,5.093295584775166e-07,1.5,0.17232195474943562,-0.19165157316855266,1.2547009514362313,0.1187405820827987,0.24914770724754448,0.23303409613558027
0.06006503105163574,0,0.2999465901289511,0.007547546475808262,1.5,0.1718631329013007,-0.19212716265265062,1.2594439117340321,0.11911761522171486,0.25957712186699655,0.22852828385266946
0.10377693176269531,0,0.2998405758212973,0.01303868372039952,1.5,0.16991243179466917,-0.1913695933019503,1.262035304508678,0.12083317394476417,0.2657307601290548,0.22606646071675582
0.16084504127502441,0,0.2996170748019661,0.02020378345703444,1.5,0.16904275173152009,-0.19095818371945353,1.2642969825565675,0.12143412045551479,0.27451055732943436,0.22391786657126084
0.20606684684753418,0,0.299371571932261,0.025877039803469472,1.5,0.16748825729645553,-0.19094301181474194,1.2689432500161468,0.12265148261129909,0.28186606710367484,0.2195039124846605
0.25046801567077637,0,0.2990717361006074,0.03144226923585219,1.5,0.1670261168647343,-0.19131517791976252,1.2719496742370684,0.122802425889362,0.28958468130229914,0.216647809474785
0.3059360980987549,0,0.298615419840482,0.0383859009647535,1.5,0.16609693615265303,-0.18957547145992162,1.275839571190402,0.12324218982968096,0.2963497841520777,0.21295240736911805
0.3611760139465332,0,0.29807086418282874,0.04528938900108724,1.5,0.16572402855561616,-0.18823586593338368,1.2788601705204283,0.12308255713330771,0.3,0.21008283800559308
0.4040670394897461,0,0.2975861260497381,0.050640301608885364,1.5,0.16550491771487755,-0.18310354330301232,1.2837228529906637,0.12283552375142033,0.3,0.20546328965886948
0.4588789939880371,0,0.2968880322447528,0.05746490809124565,1.5,0.16566871494016394,-0.18036601493238605,1.2861791053458291,0.12203396509326764,0.3,0.20312984992146232
0.5025961399078369,0,0.29626812717950995,0.06289598916794786,1.5,0.16654296364293308,-0.1741427902326233,1.2925093744438039,0.1206444020890165,0.3,0.1971160942783863
0.558319091796875,0,0.29539698665356157,0.06980124514643081,1.5,0.1672717199636328,-0.17098514967472997,1.2974878302825585,0.11915649802163376,0.3,0.1923865612315694
0.6028289794921875,0,0.2946360982926188,0.07530169935107446,1.5,0.16875225749731837,-0.162316672836384,1.3068504913638388,0.11707197193962939,0.3,0.18349203320435314
0.6614351272583008,0,0.29354639698701096,0.08252151575000612,1.5,0.16976290729778787,-0.157607277022268,1.31386286107195,0.11511864541097748,0.3,0.17683028198164744
0.7060930728912354,0,0.29264922164296964,0.08800437435354141,1.5,0.17148186465491028,-0.14796730371850825,1.3260875729202866,0.1126856419988952,0.3,0.16521680572572775
0.7611570358276367,0,0.2914637108618042,0.09474086529444714,1.5,0.1725242488709411,-0.1424720152024454,1.332728880019349,0.11061369965150272,0.3,0.15890756398161837
0.8068149089813232,0,0.29041455146352907,0.10030520800248477,1.5,0.17449635608020894,-0.13174288895558492,1.3491257051609313,0.10780392170648773,0.3,0.14333058009711522
0.851841926574707,0,0.2893213693941336,0.10577246196458845,1.5,0.1755156591643348,-0.12655784791892805,1.358536256895614,0.10583931051371291,0.3,0.13439055594916663
0.9067168235778809,0,0.28791085032093144,0.11240673975426674,1.5,0.17742267794733538,-0.11503702089082178,1.3758797574110402,0.10275400030744435,0.2956768888386151,0.11791423045951183
0.9521498680114746,0,0.2866782605089749,0.1178743206530551,1.5,0.17856776840934668,-0.10964817964262086,1.3850641803059434,0.10054275765265423,0.29577925038437874,0.1091890287093538
1.007368803024292,0,0.2851015803169831,0.12448713561923719,1.5,0.18139249657091197,-0.09896095730785667,1.403083761698592,0.09644944788384618,0.290482520805222,0.09207042638633754
1.0528380870819092,0,0.28373885230899637,0.1299043319121921,1.5,0.18287942598174414,-0.09303217306270649,1.4106077133517705,0.09379926648434457,0.2898174564673682,0.08492267231581803
1.106719970703125,0,0.28204906477226543,0.13628939837201273,1.5,0.18679082343142958,-0.08131538810561803,1.431464319605876,0.08859016444697734,0.28288622242092,0.06510889637441775
1.151534080505371,0,0.2805820699651963,0.1415702543398825,1.5,0.18879920142027234,-0.07571264174893066,1.4397785348517862,0.08535806774677929,0.2824677649154571,0.05721039189080311
1.2082569599151611,0,0.2786455330631021,0.14821406083532437,1.5,0.19345731412401018,-0.06290529750731919,1.457643022886241,0.07922504361335547,0.2744551658454366,0.04023912825807112
1.2538080215454102,0,0.2770263172925257,0.15351536746725386,1.5,0.1961465525993738,-0.056943737300008804,1.46778234643283,0.07521818116463126,0.27359683619744146,0.030606770888811596
1.3112590312957764,0,0.2749032372463397,0.16015664638226423,1.5,0.20159176789382793,-0.04494620402356847,1.485168769415029,0.06817966649783594,0.26663370552758253,0.014089669055722386
1.3564488887786865,0,0.27317030629070016,0.16534399837131497,1.5,0.20435660946242956,-0.03900527374490747,1.493687274672352,0.06399673805029166,0.2656540537510892,0.005997089061265636
1.4119820594787598,0,0.27096536859617165,0.17167291391372183,1.5,0.21012417448305307,-0.02731105201855984,1.5113281489829806,0.05658231052520029,0.2586791557119662,-0.010761741533831592
1.4564039707183838,0,0.26914219798344263,0.1766979960378919,1.5,0.21295729069704689,-0.021840377686741498,1.5184008290216928,0.05225196377634805,0.2580998858420234,-0.01748078757060818
1.5024089813232422,0,0.2671988061965008,0.1818658747156011,1.5,0.2183687464192915,-0.009871791115751302,1.534013446237032,0.045411955592804684,0.2492589655807581,-0.032312773925180456
