time,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
0.00946497917175293,0.3,0.3,2.0,0.2110452327377922,-0.22373035174476855,1.6066917087047197,0.08272793355385326,0.3,0.3
0.06790709495544434,0.3,0.3,2.0,0.21089204043913487,-0.22525043400531647,1.6092918068390736,0.08287040239160456,0.3,0.3
0.11387801170349121,0.3,0.3,2.0,0.2104770352689175,-0.22487728100266502,1.6079531312283046,0.08325635719990672,0.3,0.3
0.1695880889892578,0.3,0.3,2.0,0.21014429926317044,-0.22430820982396643,1.6077699949191657,0.08356580168525149,0.3,0.3
0.2100820541381836,0.3,0.3,2.0,0.21002712723036143,-0.22436942303778223,1.606726281914209,0.08367477167576386,0.3,0.3
0.2672410011291504,0.3,0.3,2.0,0.2101464015472795,-0.22354254662770676,1.606643226236662,0.08356384656103005,0.3,0.3
0.3105459213256836,0.3,0.3,2.0,0.2094022486489393,-0.22142996246355362,1.600052461921588,0.08425590875648645,0.3,0.3
0.36560583114624023,0.3,0.3,2.0,0.2104935759683281,-0.21827738506812888,1.6064793347539634,0.08324097434945486,0.3,0.3
0.4105100631713867,0.3,0.3,2.0,0.21078484085096713,-0.21675503917172767,1.6064776931915263,0.08297009800860056,0.3,0.3
0.46338510513305664,0.3,0.3,2.0,0.2112537190932005,-0.21218091825506258,1.6048454357088446,0.08253404124332352,0.3,0.3
0.5185861587524414,0.3,0.3,2.0,0.21208249191193734,-0.20865545157254617,1.6076500298105645,0.08176328252189827,0.3,0.3
0.5596160888671875,0.3,0.3,2.0,0.21518404013423342,-0.20130034223375037,1.6222255931763996,0.07887884267516292,0.3,0.3
0.6168692111968994,0.3,0.3,2.0,0.2159552374548957,-0.19561506026482214,1.6234596898905205,0.078161629166947,0.3,0.3
0.6610980033874512,0.3,0.3,2.0,0.21935416150858733,-0.18764886315612694,1.6396856727082243,0.07500062979701377,0.3,0.3
0.7165770530700684,0.3,0.3,2.0,0.22096223916126148,-0.184070744948114,1.6462014790251642,0.07350511758002681,0.3,0.3
0.7597801685333252,0.3,0.3,2.0,0.22480410131601464,-0.17574920947918557,1.664957631216094,0.06993218577610638,0.3,0.3
0.8136799335479736,0.3,0.3,2.0,0.2270662152874263,-0.17150924158895622,1.6772456308009607,0.06782841978269354,0.3,0.3
0.856748104095459,0.3,0.3,2.0,0.23122292160395733,-0.16287217300345586,1.6990307848007264,0.06396268290831968,0.3,0.28592075443930987
0.9136641025543213,0.3,0.3,2.0,0.2336129873588641,-0.15895734480420287,1.7119284096649767,0.06173992175625638,0.3,0.2736680108182721
0.9574131965637207,0.3,0.3,2.0,0.23817629166195822,-0.15036818423000545,1.738133104053161,0.057496048754378845,0.3,0.24877355114949712
1.0134520530700684,0.3,0.3,2.0,0.2401321484779603,-0.1458232081769369,1.7484619617058412,0.055677101915496914,0.3,0.23896113637945082
1.0692741870880127,0.3,0.3,2.0,0.24474681532419407,-0.13615457059026215,1.7744806220166434,0.05138546174849951,0.3,0.2142434090841888
1.1126070022583008,0.3,0.3,2.0,0.24783004497020342,-0.13138752927176417,1.7935814519286035,0.048518058177710814,0.3,0.19609762066782666
1.1560990810394287,0.3,0.3,2.0,0.2533280633277566,-0.12236793030810633,1.8234914024438604,0.04340490110518636,0.3,0.16768316767833258
1.2085659503936768,0.3,0.3,2.0,0.25589613350543305,-0.1176593771048125,1.8366824444438428,0.041016595839947254,0.3,0.15515167777834937
1.2652559280395508,0.3,0.3,2.0,0.26285019816465277,-0.10981526577789495,1.8738373683896286,0.03454931570687291,0.3,0.11985450002985287
1.3090710639953613,0.3,0.3,2.0,0.2649415976188972,-0.10596437473341806,1.8820376533011678,0.03260431421442561,0.3,0.1120642293638906
1.3651981353759766,0.3,0.3,2.0,0.27212537184805546,-0.09734039676218724,1.9177314912533145,0.02592340418130841,0.3,0.07815508330935118
1.409471035003662,0.3,0.3,2.0,0.275373593298329,-0.09368116656814363,1.9322455869818147,0.02290255823255402,0.3,0.06436669236727603
1.4647510051727295,0.3,0.3,2.0,0.2823475988127718,-0.08520923685134803,1.9644061229039675,0.016416733104122193,0.3,0.03381418324123083
1.507418155670166,0.3,0.3,2.0,0.28571079435921903,-0.0813091029481672,1.9788876481768292,0.01328896124592629,0.3,0.020056734232012294
1.562704086303711,0.3,0.3,2.0,0.2924303773741826,-0.07380122143914301,2.009603775936926,0.007039749042010179,0.3,-0.00912358714007977
1.6188678741455078,0.3,0.3,2.0,0.29619888994817895,-0.06926917229093983,2.026074653421541,0.003535032348193571,0.3,-0.024770920750463762
1.6623668670654297,0.3,0.3,2.0,0.3059179936818507,-0.05689048110548971,2.070486659936295,-0.005503734124121149,0.3,-0.06696232693948045
1.7176399230957031,0.3,0.3,2.0,0.3059179936818507,-0.05689048110548971,2.070486659936295,-0.005503734124121149,0.3,-0.06696232693948045
1.7613251209259033,0.3,0.3,2.0,0.31193165280078244,-0.04897727162594517,2.0970376525992807,-0.011096437104727684,0.3,-0.09218576996931661
1.8180248737335205,0.3,0.3,2.0,0.3143385708602392,-0.04615454933306149,2.1058669050250143,-0.013334870900022465,0.3,-0.10057355977376356
1.862457036972046,0.3,0.3,2.0,0.3190575808007208,-0.03980762232473442,2.124432454056849,-0.017723550144670332,0.3,-0.11821083135400665
1.9069719314575195,0.3,0.3,2.0,0.3218071460128841,-0.034808374042958196,2.1365477538765574,-0.02028064579198225,0.3,-0.1297203661827295
