test_distance,sample_num,detected,x_tag,y_tag,z_tag,battery
1.5,26,1,0.1453635317852925,-0.29453304400689584,1.472531157241869,49
1.5,27,1,0.14277963081054748,-0.2884203164533152,1.4765930024752185,49
1.5,28,1,0.140623889566786,-0.28142022385343435,1.4762859997385043,49
1.5,29,1,0.13829825802541346,-0.2713534571138157,1.4758728380667465,49
1.5,30,1,0.1361164210017921,-0.2625869574763834,1.4763307506171552,49
1.5,31,1,0.13436717544792726,-0.25581994067826364,1.4742040590708962,49
1.5,32,1,0.13276841559829722,-0.24961727234626116,1.4713530870511617,49
1.5,33,1,0.13192233440592713,-0.24326276593626528,1.469535968631507,49
1.5,34,1,0.13207632885525114,-0.23952195071393972,1.4651982413710716,49
1.5,35,1,0.1335876163344518,-0.23816728359002695,1.4579025636945275,49
1.5,36,1,0.13530934076483972,-0.2386668947759905,1.450333435889481,49
1.5,37,1,0.13663504156687972,-0.2397851651424538,1.4446868813529186,49
1.5,38,1,0.14173956092293347,-0.24791340654860777,1.431594051771126,49
1.5,39,1,0.14651849757369964,-0.2547966678465455,1.4151807791673718,49
1.5,40,1,0.1503292777863849,-0.2594073030612768,1.4043142007090668,49
1.5,41,1,0.15415099739836885,-0.2639691432472164,1.3944360375275662,49
1.5,42,1,0.1579706808373453,-0.2709331158652565,1.376043938393259,49
1.5,43,1,0.16099925482221217,-0.277571627559735,1.3695668300461084,49
1.5,44,1,0.16388775681740259,-0.2837173170089685,1.352516653435339,48
1.5,45,1,0.16619547776832172,-0.2866792170292231,1.3400622254573715,48
1.5,46,1,0.16920823971611534,-0.28762096368980566,1.3231984114022035,48
1.5,47,1,0.17085038703602168,-0.2819534526793803,1.3091397352140117,48
1.5,48,1,0.17252305744451912,-0.2719234776149854,1.3015881894730157,48
1.5,49,1,0.17267632192483556,-0.26159735394926464,1.297770635289066,48
1.5,50,1,0.1722755348270566,-0.2488124656458989,1.2954494836869233,48
1.5,51,1,0.17129135893047157,-0.2312687308988873,1.2922472468537562,48
1.5,52,1,0.17091646001014107,-0.21810090818400327,1.2944639819779953,48
1.5,53,1,0.17095795830401656,-0.20533056414342424,1.294749583313596,48
1.5,54,1,0.17174353934818623,-0.19226710209630934,1.2939211165920892,48
1.5,55,1,0.1721182334411063,-0.1827621614612537,1.2913253032649048,48
1.5,56,1,0.1738185237753049,-0.17362410129362893,1.2875346308321591,48
1.5,57,1,0.1761848486272775,-0.16897974978225455,1.2844796104621838,48
1.5,58,1,0.18016615765011576,-0.16235650944182303,1.2794363878240924,48
1.5,59,1,0.18333886611720152,-0.15914727884293262,1.2749757184463453,48
1.5,60,1,0.18634859112667085,-0.15765420322266985,1.269222873977228,48
1.5,61,1,0.19096890409341963,-0.15692093493734585,1.2649236043509855,48
1.5,62,1,0.1946723614385637,-0.157354140186813,1.2599855976743357,48
1.5,63,1,0.20048093039704093,-0.15975686021896376,1.2555210548672966,48
1.5,64,1,0.20470284254718896,-0.16245140966100188,1.2481691753127102,48
1.5,65,1,0.21135227610354487,-0.1686915816029188,1.2416217813183157,48
1.5,66,1,0.2156919649636677,-0.17381657645871565,1.232903377237453,48
1.5,67,1,0.2206353860074513,-0.18157980741471058,1.224484087330608,48
1.5,68,1,0.22751504795167105,-0.19383391636989228,1.2126225248291533,48
1.5,69,1,0.23311016108310276,-0.20262844359468693,1.2039474398095238,48
1.5,70,1,0.24045035092668823,-0.21509469178814966,1.1905615833852046,48
1.5,71,1,0.24614774110282348,-0.22510320431784833,1.1798139454192569,48
1.5,72,1,0.2522651264155837,-0.23486051117079892,1.1708137723583159,48
1.5,73,1,0.26073793231074216,-0.25013796502365376,1.157035043488892,48
1.5,74,1,0.26741716552002104,-0.26148505127372124,1.148478493346034,48
1.5,75,1,0.27674587795027106,-0.2763650949303306,1.1376487523897758,48
1.5,76,1,0.2838608385629916,-0.28614261223499265,1.1295014651703184,48
1.5,77,1,0.2911215831925607,-0.29499695101679296,1.1219086424725904,48
1.5,78,1,0.3008489777687747,-0.30421845003984016,1.11205271667059,48
1.5,79,1,0.3080988142259235,-0.31044337906208674,1.1045517486155896,48
1.5,80,1,0.31524461933946674,-0.3152631237753439,1.0983531166718608,48
1.5,81,1,0.3260413110409564,-0.3200163549968611,1.0878064011362722,48
1.5,82,1,0.3297427283104766,-0.32006491897310535,1.0829450806028917,48
1.5,83,1,0.34079254815486576,-0.3243266896381846,1.0884889780567322,48
1.5,84,1,0.3488613348345,-0.33016027412936394,1.1048534192177888,48
1.5,85,0,nan,nan,nan,48
1.5,86,0,nan,nan,nan,48
1.5,87,0,nan,nan,nan,48
1.5,88,0,nan,nan,nan,48
1.5,89,0,nan,nan,nan,48
1.5,90,0,nan,nan,nan,48
1.5,91,0,nan,nan,nan,48
1.5,92,0,nan,nan,nan,48
1.5,93,0,nan,nan,nan,48
1.5,94,0,nan,nan,nan,48
1.5,95,0,nan,nan,nan,48
1.5,96,0,nan,nan,nan,48
1.5,97,0,nan,nan,nan,47
1.5,98,0,nan,nan,nan,47
1.5,99,0,nan,nan,nan,47
1.5,100,0,nan,nan,nan,47
1.5,101,0,nan,nan,nan,47
1.5,102,0,nan,nan,nan,47
1.5,103,0,nan,nan,nan,47
1.5,104,0,nan,nan,nan,47
1.5,105,0,nan,nan,nan,47
1.5,106,0,nan,nan,nan,47
1.5,107,0,nan,nan,nan,47
1.5,108,0,nan,nan,nan,47
1.5,109,0,nan,nan,nan,47
1.5,110,1,0.2959099808238239,-0.34220908785675186,1.1678189885784873,47
1.5,111,1,0.29280260538771447,-0.3245640858278303,1.184472042635265,47
1.5,112,1,0.28802440078620506,-0.31356383363315654,1.1954048363782974,47
1.5,113,1,0.2813060399576342,-0.30434961444191183,1.2061264233534201,47
1.5,114,1,0.2702560720191937,-0.294705511001153,1.2200989085116947,47
1.5,115,1,0.26004591631449947,-0.28820623872506257,1.2264761897477048,47
1.5,116,1,0.24599386238161453,-0.2835444346907044,1.2396233899116575,47
1.5,117,1,0.23316418543262277,-0.2796527061989309,1.2479994421659821,47
1.5,118,1,0.22005236303518888,-0.275666455039733,1.2554097558574098,47
1.5,119,1,0.2065983014936327,-0.26857754774242193,1.2649540166868876,47
1.5,120,1,0.19895379086422263,-0.2631885107178728,1.269112109810058,47
1.5,121,1,0.18953590878232324,-0.25421543052332074,1.275458535463371,47
